PERMNO,date,TICKER,TRDSTAT,PRC,RET,SHROUT,sprtrn
64311,20181130,NSC,A,170.74001,0.022106,272347,0.017859
64311,20181231,NSC,A,149.53999,-0.124165,272347,-0.091777
64311,20190131,NSC,A,167.74001,0.121707,268098,0.078684
64311,20190228,NSC,A,179.3,0.074043,267455,0.029729
64311,20190329,NSC,A,186.89,0.042331,266790,0.017924
64311,20190430,NSC,A,204.02,0.091658,265967,0.039313
64311,20190531,NSC,A,195.14,-0.03931,265967,-0.065778
64311,20190628,NSC,A,199.33,0.021472,265967,0.06893
64311,20190731,NSC,A,191.12,-0.041188,263407,0.013128
64311,20190830,NSC,A,174.05,-0.084397,263407,-0.018092
64311,20190930,NSC,A,179.66,0.032232,263407,0.017181
64311,20191031,NSC,A,182,0.018257,260747,0.020432
64311,20191129,NSC,A,193.5,0.063187,260747,0.034047
64311,20191231,NSC,A,194.13,0.003256,260747,0.02859
64311,20200131,NSC,A,208.21001,0.072529,260747,-0.001628
64311,20200228,NSC,A,182.35001,-0.119687,257844,-0.08411
64311,20200331,NSC,A,146,-0.199342,277425,-0.125119
64311,20200430,NSC,A,171.10001,0.171918,256179,0.126844
64311,20200529,NSC,A,178.28999,0.047516,256179,0.045282
64311,20200630,NSC,A,175.57001,-0.015256,256179,0.018388
64311,20200731,NSC,A,192.21001,0.094777,255109,0.055101
64311,20200831,NSC,A,212.53,0.110608,255109,0.070065
64311,20200930,NSC,A,213.99001,0.00687,255109,-0.039228
64311,20201030,NSC,A,209.12,-0.022758,253985,-0.027666
64311,20201130,NSC,A,237.02,0.137911,253985,0.107546
64311,20201231,NSC,A,237.61,0.002489,253985,0.037121
64311,20210129,NSC,A,236.62,-0.004167,252095,-0.011137
64311,20210226,NSC,A,252.06,0.069436,251912,0.026091
64311,20210331,NSC,A,268.51999,0.065302,251912,0.042439
64311,20210430,NSC,A,279.23999,0.039923,250241,0.052425
64311,20210528,NSC,A,280.89999,0.00949,250241,0.005487
64311,20210630,NSC,A,265.41,-0.055144,250241,0.022214
